,Colour,Module,Module_Type
0,#8cd4c7,M01,HClust
1,#fefeb3,M02,HClust
2,#bfbbdc,M03,HClust
3,#fa7f72,M04,HClust
4,#fdb562,M05,HClust
5,#80b1d2,M06,HClust
6,#b2dd68,M07,HClust
7,#fbcde6,M08,HClust
8,#dadada,M09,HClust
9,#ba7fbc,M10,HClust
10,#68876b,M11,HClust
11,#82ef97,M12,HClust
12,#65f1da,M13,HClust
13,#ffed6f,M14,HClust
0,#a1c9f4,causal,Literature
1,#ffb482,distance,Literature
2,#8de5a1,infotheory,Literature
3,#ff9f9b,spectral,Literature
4,#d0bbff,misc,Literature
5,#debb9b,basic,Literature
6,#fab0e4,wavelet,Literature
